date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:58	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-15283%22	https://technext.github.io/tulen/js/vendor/jquery-3.2.1.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/vendor/jquery-3.2.1.min.js	(from https://technext.github.io/tulen/index.html)
23:45:59	60010/60010	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-ea6a%22	https://technext.github.io/tulen/js/bootstrap.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/bootstrap.min.js	(from https://technext.github.io/tulen/index.html)
23:46:00	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-ad36%22	https://technext.github.io/tulen/js/owl.carousel.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/owl.carousel.min.js	(from https://technext.github.io/tulen/index.html)
23:46:00	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-15da%22	https://technext.github.io/tulen/js/imagesloaded.pkgd.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/imagesloaded.pkgd.min.js	(from https://technext.github.io/tulen/index.html)
23:46:02	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-8a75%22	https://technext.github.io/tulen/js/isotope.pkgd.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/isotope.pkgd.min.js	(from https://technext.github.io/tulen/index.html)
23:46:03	60010/60010	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-ea6a%22	https://technext.github.io/tulen/js/jquery.nicescroll.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/jquery.nicescroll.min.js	(from https://technext.github.io/tulen/index.html)
23:46:03	4445/4445	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-115d%22	https://technext.github.io/tulen/js/circle-progress.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/circle-progress.min.js	(from https://technext.github.io/tulen/index.html)
23:46:04	3096/3096	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-c18%22	https://technext.github.io/tulen/js/pana-accordion.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/pana-accordion.js	(from https://technext.github.io/tulen/index.html)
23:46:05	3971/3971	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e64ced7-f83%22	https://technext.github.io/tulen/js/main.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/main.js	(from https://technext.github.io/tulen/index.html)
23:46:07	26592/26592	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-67e0%22	https://technext.github.io/tulen/img/about.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/about.jpg	(from https://technext.github.io/tulen/about.html)
23:46:07	36679/36679	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-8f47%22	https://technext.github.io/tulen/css/fresco.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/fresco.css	(from https://technext.github.io/tulen/gallery.html)
23:46:09	2178/2178	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-882%22	https://technext.github.io/tulen/img/gallery/author.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/author.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:11	27151/27151	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-6a0f%22	https://technext.github.io/tulen/img/gallery/2.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/2.jpg	(from https://technext.github.io/tulen/gallery.html)
